target,average_temp,out_count,population,num_household,visit,deliver_takeout
31942350,14.4,15601,216755,87464,69.3,14.4
26849500,17.2,13922,216755,87464,69.3,14.4
23176800,18.1,12763,216755,87464,69.3,14.4
22253050,12.2,12439,216755,87464,69.3,14.4
17194550,8,9348,216755,87464,69.3,14.4
20899750,6.5,11625,216755,87464,69.3,14.4
21256950,4.9,10958,216755,87464,69.3,14.4
30557100,6.8,14946,216755,87464,69.3,14.4
25776550,8.9,13475,216755,87464,69.3,14.4
21387150,16.1,11750,216755,87464,69.3,14.4
22638500,12.3,12406,216755,87464,69.3,14.4
20661650,11.5,11678,216755,87464,69.3,14.4
20794200,13.6,11836,216755,87464,69.3,14.4
19340650,8.7,9869,216755,87464,69.3,14.4
32232150,8.9,15988,216755,87464,69.3,14.4
25409900,10.4,13444,216755,87464,69.3,14.4
21520500,11.5,12092,216755,87464,69.3,14.4
22565900,11.2,12601,216755,87464,69.3,14.4
20866800,13.2,11952,216755,87464,69.3,14.4
20840050,17.1,12106,216755,87464,69.3,14.4
23175200,17.1,12199,216755,87464,69.3,14.4
29449800,15.7,14687,216755,87464,69.3,14.4
20507750,10.3,10609,216755,87464,69.3,14.4
24686600,12.2,13475,216755,87464,69.3,14.4
23877550,13.5,13154,216755,87464,69.3,14.4
20891650,14,11863,216755,87464,69.3,14.4
20474050,13.8,11798,216755,87464,69.3,14.4
22570850,14.3,12025,216755,87464,69.3,14.4
31370250,15.1,15694,216755,87464,69.3,14.4
24366800,18.1,13162,216755,87464,69.3,14.4
25427400,20,13615,217927,88011,69.3,14.4
21403100,15.2,11817,217927,88011,69.3,14.4
22576300,11.9,12683,217927,88011,69.3,14.4
23944950,14,13452,217927,88011,69.3,14.4
22820500,18,12417,217927,88011,69.3,14.4
23718550,15.8,11917,217927,88011,69.3,14.4
29908350,18.3,15013,217927,88011,69.3,14.4
24851650,17.2,13551,217927,88011,69.3,14.4
24416500,14.6,13503,217927,88011,69.3,14.4
21556150,14.7,12579,217927,88011,69.3,14.4
21117850,15.6,12288,217927,88011,69.3,14.4
18078250,14.3,9251,217927,88011,69.3,14.4
37598000,14.5,18554,217927,88011,69.3,14.4
27118950,17.4,14336,217927,88011,69.3,14.4
25303600,22.5,13901,217927,88011,69.3,14.4
21415050,23.4,12315,217927,88011,69.3,14.4
21865350,,12220,217927,88011,69.3,14.4
24274950,16.7,13525,217927,88011,69.3,14.4
26828900,17.3,14208,217927,88011,69.3,14.4
32001400,16.7,16212,217927,88011,69.3,14.4
26254550,16.9,14167,217927,88011,69.3,14.4
23405950,18,12446,217927,88011,69.3,14.4
29293050,17,15701,217927,88011,69.3,14.4
24039850,18.2,13530,217927,88011,69.3,14.4
22992500,18.8,13375,217927,88011,69.3,14.4
25265200,19.9,13595,217927,88011,69.3,14.4
34356050,18.7,17675,217927,88011,69.3,14.4
27773950,20.8,15251,217927,88011,69.3,14.4
22179950,20.8,12635,217927,88011,69.3,14.4
25906650,18.7,14714,217927,88011,69.3,14.4
24015100,19.1,14271,217927,88011,69.3,14.4
23839200,21.8,14095,218635,88321,69.3,14.4
26505250,21.2,14429,218635,88321,69.3,14.4
36499800,22.1,18810,218635,88321,69.3,14.4
29333650,21.3,15959,218635,88321,69.3,14.4
23936900,23,14067,218635,88321,69.3,14.4
30443300,21.7,16527,218635,88321,69.3,14.4
25803850,20.5,14896,218635,88321,69.3,14.4
24540450,20.8,14521,218635,88321,69.3,14.4
26440700,22.8,14751,218635,88321,69.3,14.4
36172950,21.3,18822,218635,88321,69.3,14.4
28682350,20.4,15981,218635,88321,69.3,14.4
23091950,20.7,13749,218635,88321,69.3,14.4
29614450,21.5,16697,218635,88321,69.3,14.4
27042350,21.8,15338,218635,88321,69.3,14.4
24963500,21.2,14833,218635,88321,69.3,14.4
27118450,21.2,15041,218635,88321,69.3,14.4
36643750,21.2,19019,218635,88321,69.3,14.4
29674000,23.5,16311,218635,88321,69.3,14.4
27452550,21.6,15878,218635,88321,69.3,14.4
26851100,22,15942,218635,88321,69.3,14.4
25655800,22.9,15103,218635,88321,69.3,14.4
25405900,24.4,15181,218635,88321,69.3,14.4
29540900,23.8,16061,218635,88321,69.3,14.4
38783100,24.8,19914,218635,88321,69.3,14.4
31328400,26.1,17337,218635,88321,69.3,14.4
18537900,22,10274,218635,88321,69.3,14.4
31523900,22.2,18241,218635,88321,69.3,14.4
25367350,23.1,14759,218635,88321,69.3,14.4
27392250,24.3,16294,218635,88321,69.3,14.4
30244200,24.6,16505,218635,88321,69.3,14.4
30561300,21.4,15134,218916,88519,69.3,14.4
33262400,22.7,17758,218916,88519,69.3,14.4
31068900,26.6,17960,218916,88519,69.3,14.4
29575150,26.1,17609,218916,88519,69.3,14.4
26700350,25,16119,218916,88519,69.3,14.4
26282950,23.7,15838,218916,88519,69.3,14.4
28704600,23.8,15906,218916,88519,69.3,14.4
33023800,22.6,17397,218916,88519,69.3,14.4
26663500,20.7,14687,218916,88519,69.3,14.4
30858650,24.4,18008,218916,88519,69.3,14.4
28898200,26.9,17381,218916,88519,69.3,14.4
